NameNormalized,Name - Ops,Name - NYC.gov Redesign,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,HeadOfOrganizationName,HeadOfOrganizationTitle,HeadOfOrganizationURL,nyc_gov_Name - NYC.gov Redesign - Original Value,data_source,RecordID
brooklyn bridge park corporation,"Brooklyn Bridge Park Corporation, Brooklyn Bridge Park Development Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convention center development corporation,"Convention Center Development Corporation, Convention Center Operating Corporation (Javits)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic development corporation life sciences advisory council,"Economic Development Corporation Life Sciences Advisory Council, Economic Development Corporation Real Estate Life Sciences Advisory Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film theater broadcasting,"Office of Film, Theatre, & Broadcasting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender racial equity advisory board,"Gender and Racial Equity Advisory Board, Medical Equity Advisory Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hosing development corporation,"Housing Development Corporation, Land Development Corporation",Hosing Development Corporation (NYC HDC),Eric Enderlin,President ,https://www.nychdc.com/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cig studio museum harlem,"CIG - Studio Museum in Harlem, Mayor's Office of Sports and Recreation","Sports, Wellness and Recreation, Mayor's Office of (MOSWR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payroll administration,"Office of Payroll Administration, Office of Payroll Administration Board","Payroll Administration, Office of (OPA)",Neil Matthew,Executive Director,https://www.nyc.gov/site/opa/about/email-the-office.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mayor fund board advisors,"Mayor's Fund Board of Advisors, Mayor's Fund Board of Directors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archives reference research advisory board,"Archives, Reference and Research Advisory Board ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_368189
environmentally preferable purchasing use disposal textiles task force,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_258715
jamaica bay rockaway parks conservancy inc,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_718435
new york city school bus umbrella services inc,"New York City School Bus Umbrella Services, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_316732
public realm improvement fund governing group inc,"Public Realm Improvement Fund Governing Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_498919
sports wellness recreation advisory board,"Sports, Wellness, & Recreation Advisory Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_989285
task force monuments statues public art historical markers,"Task Force on Monuments, Statues, Public Art and Historical Markers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,REC_574345
