,Agency Name,Agency Link (URL),Head of Organization ,HoO Title,HoO Contact Link,Notes: Is the information incorrect? Does it need to be modified? What is incorrect?,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,NameNormalized
102,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Sheena Wright ,First Deputy Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office"
103,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Meera Joshi,Deputy Mayor for Operations,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_1"
104,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Maria Torres-Springer,Deputy Mayor for Economic and Workforce Development ,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_2"
105,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Anne Williams-Isom,Deputy Mayor for Health and Human Services ,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_3"
106,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Philip Banks,Deputy Mayor for Public Safety ,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_4"
107,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Ana Almanzar,Deputy Mayor for Strategic Intitiatives,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_5"
108,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Fabien Levy,Deputy Mayor for Communications,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_6"
109,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Ingrid Lewis-Martin ,Chief Advisor to the Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_7"
110,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Camille Joseph Varlack,Chief of Staff,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_8"
111,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Lisa Zornberg,Chief Counsel to the Mayor and City Hall,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_9"
112,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Denise C. Clay,Chief Efficiency Officer,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_10"
113,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Sheriff Soliman ,"Director, Policy and Planning ",https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_11"
114,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Stefan Ringel,Senior Advisor to the Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_12"
115,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Tiffany Raspberry,Senior Advisor for External Affairs ,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_13"
116,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Andrea Shapiro Davis,Senior Advisor and Director of Public Service Engagement,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_14"
117,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Jessica Katz ,Chief Housing officer (Resigned in July),https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,Needs to be updated! Position seems to be vacant after Jessica's Resignment,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_15"
118,"Mayor, Office of the",https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Abby Jo Sigal,Executive Director of Talent and Workforce Development,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,No personal contact on site but other than that no modification needed.,,,,,,,,,,,,,,,,,,,,,,,"mayor, the office_16"
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
