source_id,target_id,score
9,91,84.84848484848484
11,35,88.0
16,19,93.06930693069306
19,125,100.0
21,47,100.0
23,100,90.9090909090909
27,94,94.11764705882352
37,119,100.0
46,95,92.47311827956989
52,98,88.28828828828829
57,121,94.48818897637796
60,93,100.0
64,120,88.23529411764706
66,96,82.05128205128204
72,99,92.5
74,101,90.9090909090909
77,129,100.0
82,132,100.0
86,32,89.85507246376811
88,124,100.0
95,4,84.21052631578947
101,80,82.75862068965517
104,171,83.33333333333334
107,48,89.65517241379311
112,55,87.67123287671232
117,128,97.14285714285714
119,84,82.35294117647058
120,126,100.0
134,156,90.625
135,130,100.0
137,167,83.87096774193549
164,17,90.625
188,34,91.56626506024097
191,30,90.0
193,18,88.0
195,33,87.09677419354838
198,39,88.52459016393442
201,20,100.0
207,31,88.88888888888889
225,60,91.35802469135803
246,70,89.55223880597015
252,73,98.7012987012987
269,83,91.66666666666666
273,89,90.66666666666666
316,150,100.0
318,142,88.88888888888889
330,153,87.5
344,158,100.0
357,165,85.1063829787234
358,166,82.35294117647058
389,144,90.9090909090909
389,148,82.5
391,10,92.0
392,9,90.9090909090909
393,11,92.3076923076923
394,12,91.30434782608697
395,13,93.33333333333333
396,36,86.48648648648648
400,51,98.82352941176471
401,50,98.41269841269842
401,53,84.375
402,52,98.9247311827957
403,50,84.375
403,53,98.46153846153847
404,54,99.00990099009901
406,77,87.71929824561404
408,127,82.53968253968253
410,139,86.36363636363636
415,154,91.56626506024097
416,170,89.55223880597015
417,168,95.91836734693877
